player_id,match_id,session_id,inst_speed_mps,total_dist_m,time_active_s,timestamp_utc,sensor_type
player_01,match1,match1,3.86,1323.2,2850.4,2025-11-24T16:17:00.000000Z,SensorTrackingJogador
player_01,match1,match1,3.72,1440.6,4121.7,2025-11-24T16:17:05.000000Z,SensorTrackingJogador
player_01,match1,match1,4.35,1160.1,2179.3,2025-11-24T16:17:10.000000Z,SensorTrackingJogador
player_01,match1,match1,4.46,1466.7,2682.5,2025-11-24T16:17:15.000000Z,SensorTrackingJogador
player_01,match1,match1,4.45,1364.9,2283.7,2025-11-24T16:17:20.000000Z,SensorTrackingJogador
player_01,match1,match1,4.55,1133.9,3229.6,2025-11-24T16:17:25.000000Z,SensorTrackingJogador
player_01,match1,match1,4.43,1231.4,2281.1,2025-11-24T16:17:30.000000Z,SensorTrackingJogador
player_01,match1,match1,4.54,1478.8,4193.8,2025-11-24T16:17:35.000000Z,SensorTrackingJogador
player_01,match1,match1,4.91,1137.4,3475.0,2025-11-24T16:17:40.000000Z,SensorTrackingJogador
player_01,match1,match1,4.19,1107.3,2679.5,2025-11-24T16:17:45.000000Z,SensorTrackingJogador
player_01,match1,match1,4.98,1236.7,3685.5,2025-11-24T16:17:50.000000Z,SensorTrackingJogador
player_01,match1,match1,3.62,1500.0,2340.9,2025-11-24T16:17:55.000000Z,SensorTrackingJogador
player_01,match1,match1,3.8,1415.2,3116.9,2025-11-24T16:18:00.000000Z,SensorTrackingJogador
player_01,match1,match1,4.24,1395.5,3158.4,2025-11-24T16:18:05.000000Z,SensorTrackingJogador
player_01,match1,match1,4.46,1450.6,3359.7,2025-11-24T16:18:10.000000Z,SensorTrackingJogador
player_01,match1,match1,4.35,1161.7,2397.9,2025-11-24T16:18:15.000000Z,SensorTrackingJogador
player_01,match1,match1,4.52,1349.9,3985.8,2025-11-24T16:18:20.000000Z,SensorTrackingJogador
player_01,match1,match1,4.57,1117.5,2801.5,2025-11-24T16:18:25.000000Z,SensorTrackingJogador
player_01,match1,match1,4.57,1487.8,3343.3,2025-11-24T16:18:30.000000Z,SensorTrackingJogador
player_01,match1,match1,4.62,1413.5,2514.8,2025-11-24T16:18:35.000000Z,SensorTrackingJogador
player_01,match1,match1,3.7,1486.2,3725.6,2025-11-24T16:18:40.000000Z,SensorTrackingJogador
player_01,match1,match1,4.9,1177.6,3492.3,2025-11-24T16:18:45.000000Z,SensorTrackingJogador
player_01,match1,match1,4.3,1276.2,3692.8,2025-11-24T16:18:50.000000Z,SensorTrackingJogador
player_01,match1,match1,4.67,1301.2,2921.1,2025-11-24T16:18:55.000000Z,SensorTrackingJogador
player_01,match1,match1,3.56,1179.9,3330.3,2025-11-24T16:19:00.000000Z,SensorTrackingJogador
player_01,match1,match1,4.83,1120.9,3057.3,2025-11-24T16:19:05.000000Z,SensorTrackingJogador
player_01,match1,match1,3.93,1473.7,3565.1,2025-11-24T16:19:10.000000Z,SensorTrackingJogador
player_01,match1,match1,4.19,1149.9,2184.5,2025-11-24T16:19:15.000000Z,SensorTrackingJogador
player_01,match1,match1,3.55,1279.7,3129.4,2025-11-24T16:19:20.000000Z,SensorTrackingJogador
player_01,match1,match1,4.76,1136.7,4003.1,2025-11-24T16:19:25.000000Z,SensorTrackingJogador
player_01,match1,match1,4.73,1453.9,4047.0,2025-11-24T16:19:30.000000Z,SensorTrackingJogador
player_01,match1,match1,4.01,1258.6,2822.7,2025-11-24T16:19:35.000000Z,SensorTrackingJogador
player_01,match1,match1,3.96,1132.6,2494.0,2025-11-24T16:19:40.000000Z,SensorTrackingJogador
player_01,match1,match1,3.83,1139.6,3572.3,2025-11-24T16:19:45.000000Z,SensorTrackingJogador
player_01,match1,match1,3.86,1158.4,2084.3,2025-11-24T16:19:50.000000Z,SensorTrackingJogador
player_01,match1,match1,4.91,1289.0,3828.4,2025-11-24T16:19:55.000000Z,SensorTrackingJogador
player_01,match1,match1,4.63,1287.6,3353.8,2025-11-24T16:20:00.000000Z,SensorTrackingJogador
player_01,match1,match1,4.89,1107.6,2474.4,2025-11-24T16:20:05.000000Z,SensorTrackingJogador
player_01,match1,match1,3.53,1476.1,3339.5,2025-11-24T16:20:10.000000Z,SensorTrackingJogador
player_01,match1,match1,4.02,1410.5,2522.8,2025-11-24T16:20:15.000000Z,SensorTrackingJogador
player_01,match1,match1,3.48,1195.4,3405.7,2025-11-24T16:20:20.000000Z,SensorTrackingJogador
player_01,match1,match1,4.38,1125.1,3840.7,2025-11-24T16:20:25.000000Z,SensorTrackingJogador
player_01,match1,match1,4.16,1314.4,3390.3,2025-11-24T16:20:30.000000Z,SensorTrackingJogador
player_01,match1,match1,4.3,1387.4,2640.8,2025-11-24T16:20:35.000000Z,SensorTrackingJogador
player_01,match1,match1,3.26,1241.1,3255.5,2025-11-24T16:20:40.000000Z,SensorTrackingJogador
